"Image","Actual word","Kernel size","Kernel type","Iterations","Without Filter","Opening","Closing","Erosion","Dilation","OC","CO","OCO","COC","Sharpened"
"6235.jpeg","HE",2,1,1,,,,,,,,,,
"6236.jpeg","should",2,1,1,,,,,,"should","should","should","should",
"6237.jpeg","$gusto",2,1,1,"$gusto","$gusto","$gusto","$gusto","$gusto","$gusto","$gusto","$gusto","$gusto","$gusto"
"6238.png","of",2,1,1,"OT","OT","OT","OT","OT","OT","OT","Ot","Ot","Ot"
"6239.jpeg","WERE",2,1,1,,,,,,"WERE","WERE","WERE","WERE",
"624.png",2,2,1,1,,,,,,,,,,
"6240.jpeg","regretted",2,1,1,"regretted","regretted","regretted","regretted","regretted","regretted","regretted","regretted","regretted","regretted"
"6241.png","Explain",2,1,1,"Explain","Explain","Explain","Explain","Explain","Explain","Explain","Explain","Explain","Explain"
"6242.jpeg","all",2,1,1,,,,,,,,,,
"6243.jpeg","arttreasury",2,1,1,"arttreasury","arttreasury","arttreasury","arttreasury","arttreasury","arttreasury","arttreasury","arttreasury","arttreasury","arttreasury"
"6244.png","the",2,1,1,,,,,,,,,,
"6245.png","months",2,1,1,,,,,,,,,,
"6246.png","there",2,1,1,"there","there","there","there","there","there","there","there","there","there"
"6247.jpeg","not;",2,1,1,"not;","not;","not;","not;","not;","not;","not;","not;","not;","not;"
"6248.png","Write",2,1,1,,,,,,,,,,
"6249.png","Loyalty",2,1,1,"_oyaity","_oyaity","_oyaity","_oyaity","_oyaity","_oyailty","_oyailty","_oyailty","_oyailty","_oyailty"
"625.png","nature",2,1,1,,,,,,,,,,
"6250.jpeg","things",2,1,1,"things","things","things","things","things","things","things","things","things","things"
"6251.png","chain",2,1,1,,,,,,"d chain","d chain","d chain","d chain",
"6252.png","(1)",2,1,1,,,,,,,,,,
"6253.jpeg","in",2,1,1,,,,,,"in","in",,,
"6254.png","in",2,1,1,"Sin","Sin","Sin","Sin","Sin","Sin","Sin","Sin","Sin","Sin"
"6255.jpeg","SECOND",2,1,1,"SECOND","SECOND","SECOND","SECOND","SECOND","SECOND","SECOND","SECOND","SECOND","SECOND"
"6256.jpeg","thrust",2,1,1,"thrust","thrust","thrust","thrust","thrust","thrust","thrust","thraist","thraist","thrust"
"6257.png","of",2,1,1,"yt",,,,"Ot",,,,,"ot"
"6258.png","Exim",2,1,1,,,,,,,,,,
"6259.png","sections",2,1,1,,,,,,"sections","sections","sections","sections",
"626.png","RBI.",2,1,1,,,,,,,,,,
"6260.png","compulsory.",2,1,1,"compuisory.","compuisory.","compuisory.","compuisory.","compulsory.","compuisory.","compuisory.","compulsory.","compuisory.","compuisory."
"6261.png",5,2,1,1,,,,,,,,,,
"6262.jpeg","Prince",2,1,1,"Prince","Prince","Prince","Prince","Prince","Prince","Prince","Prince","Prince","Prince"
"6263.png","the",2,1,1,,,,,,,,,,
"6264.png","security",2,1,1,"security","security","security","security","security","security","security","security","security","security"
"6265.jpeg","WELL",2,1,1,"WEI |.","WEILI.","WEFEILI.","WEIL I.","WEI |","WEFEI |.","WEFEI |.","WEFEI I","WEFEI I","WEI |."
"6266.jpeg","to",2,1,1,"to","to","to","to","to",,,,,"to"
"6267.jpeg","THEY",2,1,1,"THEY","THEY","THEY","THEY","THEY","THEY","THEY","THEY","THEY","THEY"
"6268.jpeg","ONLY",2,1,1,"ONLY","ONLY","ONLY","ONLY","ONLY","ONI Y","ONIY","ONI Y","ONI Y","ONLY"
"6269.jpeg","Francisco",2,1,1,"Francisco","Francisco","Francisco","Francisco","Francisco","Francisco","Francisco","Francisco","Francisco","Francisco"
"627.jpeg","MAKING",2,1,1,,"MAKING","MAKING",,,"MAKING","MAKING","MAKING","MAKING",
"6270.jpeg","BEST",2,1,1,"BEST","BEST","BEST","BEST","BEST","BEST","BEST","BEST","BEST","BEST"
"6271.png","for",2,1,1,"ror","Tor","Tor","Tor","for","for","for","fOr","fOr","ror"
"6272.jpeg","marketplace",2,1,1,"marketplace","marketplace","marketplace","marketplace","marketplace","marketplace","marketplace","marketplace","marketplace","marketplace"
"6273.png","Appeal.",2,1,1,"Appeal.","Appeal.","Appeal.","Appeal.","Appeal.","Appeal.","Appeal.","Appeal.","Appeal.","Appeal."
"6274.png","listing",2,1,1,"r listing","r tisting","r tisting","r listing","r isting","r tisting","r listing","r listing","r listing","r listing"
"6275.jpeg","against",2,1,1,"against","against","against","against","against","against","against","against","against","against"
"6276.jpeg","of",2,1,1,,,,,,,,,,
"6277.jpeg","being",2,1,1,"being","being","being","being","being","being","being","being","being","being"
"6278.jpeg","believed",2,1,1,"believed",,"believed","believed","believed","hellewed","helleved",,"believed","believed"
"6279.png","seasonal",2,1,1,,,,,,"seasona","seasona","seasona|","seasona|",
"628.png","Appraisal",2,1,1,"Appraisal","Appraisal","Appraisal","Appraisal","Appraisal","Appraisal","Appraisal","Appraisal!","Appraisal","Appraisal"
"6280.jpeg","us",2,1,1,"us","us","us","us","us","us","us","us","us","us"
"6281.png","?",2,1,1,,,,,,,,,,
"6282.png","the",2,1,1,,,,,,,,,,
"6283.jpeg","squaresand",2,1,1,"squaresand","squaresand","squaresand","squaresand","squaresand","squaresand","Squaresand","squaresand","Squaresand","squaresand"
"6284.jpeg","that",2,1,1,,"that","that",,"that","that","that","that","that",
"6285.png","has",2,1,1,"has","has","has","has","has","has","has","has","has","has"
"6286.png","been",2,1,1,,,,,,,,"heen","heen",
"6287.png","machines",2,1,1,"machine","machine","machine","machine","machine","machine","machine","machine","machine","machine"
"6288.png","various",2,1,1,"various","various","various","various","various","various","various","various","various","various"
"6289.jpeg","into",2,1,1,"into","into","into","into","into","into","into","into","into","into"
"629.jpeg","THE",2,1,1,,,,,,,,,,
"6290.jpeg","the",2,1,1,"the","the","the","the","the","the","the",,,"tHe"
"6291.jpeg","marks",2,1,1,"marks","marks","marks","marks","marks","marks","marks","moarks","morks","marks"
"6292.jpeg","( feeling",2,1,1,"( feeling","( feeling","( feeling","( feeling","( feeling","( feeling","( feeling","( feeling","( feeling","( feeling"
"6293.jpeg","the",2,1,1,"the","the","the","fhe","the","the","the",,,"the"
"6294.jpeg","further",2,1,1,"further","further","further","further","further","fiyrther","fiyrther","fiyrther","fiyrther","further"
"6295.jpeg","pain",2,1,1,"pain","pain","pain","pain","pain","pain","pain","pain","pain","pain"
"6296.jpeg","LAY",2,1,1,,,,,,,,,,
"6297.png","some",2,1,1,,,,,,,,,,
"6298.jpeg","It",2,1,1,"It","It","It","It","It","It","It",,,"It"
"6299.png","OR",2,1,1,,,,,,,,,,
"63.jpeg","your@",2,1,1,"your@","your@","your@","your@","your@","your@","your@","your@","your@","your@"
"630.jpeg","sun",2,1,1,"Sin","SIN","SLn","Sil","Sun","Sun","Sun","SILI","SILI","SUN"
"6300.jpeg","ON",2,1,1,"ON","ON","ON","ON","ON","ON","ON","ON","ON","ON"
"6301.jpeg","AND",2,1,1,"AND","AND","AND","AND","AND","AND","AND","AND","AND","AND"
"6302.png","Measures",2,1,1,,"Measures","Measures","Measures","Measures","Measures","Measures","Measures","Measures","Measures"
"6303.png","51%",2,1,1,"51%","51%","51%","51%","51%","51%","51%","51%","51%","51%"
"6304.jpeg","HUNDRED",2,1,1,,"HUNDRED","HUNDRED",,"HUNDRED","HUNDRED","HUNDRED","HIINDRED","HIINDRED",
"6305.jpeg","ABOUT",2,1,1,,,,,,,,"ABOUT","ABOUT",
"6306.png","to",2,1,1,,"TO","TO",,,"TO","TO","TO","TO",
"6307.jpeg","palace",2,1,1,"palace","palace","palace","palace","palace","palace","palace","palace","palace","palace"
"6308.jpeg","should",2,1,1,"should","should","should","should","should","should","should","should","should","should"
"6309.png","to",2,1,1,,,,,,,,,,
"631.jpeg","there",2,1,1,"there","there","there","there","there","there","there","there","there","there"
"6310.jpeg","and",2,1,1,"and","and","and","and","and","and","and","and","and","and"
"6311.png","the",2,1,1,,,,,,,,,,
"6312.png","are",2,1,1,,,,,,,,,,
"6313.png","will",2,1,1,,"n Wilt","ry Wilt",,"n wilt","Will","Will","nN Will","nN Wil!",
"6314.png","Mary",2,1,1,,,,,,,,,,
"6315.jpeg","OF",2,1,1,"OF","OF","OF","OF","OF","OF","OEFr","O§fr","O§r","OF"
"6316.png","BPR",2,1,1,,,,,,,,,,
"6317.jpeg","and",2,1,1,"and","and","and","and","and","and","and","ana","ana","and"
"6318.jpeg","NATURE",2,1,1,"NATURE","NATURE","NATURE","NATURE","NATURE","NATURE","NATURE","NATURE","NATURE","NATURE"
"6319.png","Maslow’s",2,1,1,,,,,,"NMiasiows","NMiasiow s","NMiasiow s","NMiasiows",
"632.jpeg","of",2,1,1,,,,,,"of","of","of","of",
"6320.png","Depository",2,1,1,"Uepository","Depository","Depository","Depository","Depository","Depository","Depository","Depository","Depository","Depository"
"6321.png","an",2,1,1,,,,,,,,,,
"6322.jpeg","not",2,1,1,"not","nok","nok","nor","not","nok","nok","wot","yok","not"
"6323.jpeg","snipe >",2,1,1,"snipe >","snipe >","snipe >","snipe >","snipe >","snipe >","snipe >","snipe >","snipe >","snipe >"
"6324.jpeg","ACCOUNT",2,1,1,,,,,,,,"ACCOUNT","ACCOUNT",
"6325.jpeg","HEAD",2,1,1,,,,,,"HEAD","HEAD","HEAD","HEAD",
"6326.png","of",2,1,1,,,,,,,,,,
"6327.jpeg","or",2,1,1,"or","or","or","or","or","or","or","Or","Or","or"
"6328.jpeg","right,",2,1,1,"right,","right,","right,","right,",,"right,","right,","right,","right,","right,"
"6329.jpeg","HOLLO",2,1,1,,,,,,,,,,
"633.png","wil!",2,1,1,"S will","S wil}","S wil","S wil","S wil

1","Ss will","S wil","Ss will","Ss wil","S wil"
"6330.jpeg","like",2,1,1,,,,,,,,,,
"6331.jpeg","who",2,1,1,,"who","who",,"who","who","who",,,
"6332.png","a",2,1,1,,,,,,,,,,
"6333.png","of",2,1,1,,,,,,,,,,
"6334.jpeg","to",2,1,1,"te","to","tp","ts","ta",,,,,"tr"
"6335.png","play",2,1,1,,,,,,,,,,
"6336.jpeg","creation",2,1,1,"creation","creation","creation","creation","creation","creation","creation","creation","creation","creation"
"6337.png","Lippman",2,1,1,"Lipoman",,,,"Lipoman",,,,,"Lipoman"
"6338.jpeg","hood",2,1,1,"hood","hood","hood","hood","hood","hood","hood","hood","hood","Hood"
"6339.png","exchange",2,1,1,"excnang","exchang","exchang","excnang","excnang","exchang","exchang","exchang","exchang","excnang"
"634.png","equal",2,1,1,"equal","equal","equal!","equal","equal","equa!","equa!","equa!","equa!","equal"
"6340.jpeg","LEAST",2,1,1,,,,,,,,,,
"6341.jpeg","HIS",2,1,1,"HIS","HIS","HIS","HIS","HIS","HIS","HIS","HIS","HIS","HIS"
"6342.png",2009,2,1,1,,,,,,,,,,
"6343.jpeg","SURE",2,1,1,,,,,,,,,,
"6344.png","?",2,1,1,,,,,,,,,,
"6345.jpeg","WORK",2,1,1,,,,,,,,"WORK","WORK",
"6346.png","Health",2,1,1,,,,,,,,,,
"6347.png","data",2,1,1,,,,,,,,,,
"6348.png","the",2,1,1,,,,,,,,,,
"6349.png","Business",2,1,1,,,,,,,,"Business","Business",
"635.png","the",2,1,1,,,,,"the",,,,,
"6350.jpeg","so",2,1,1,"so","so","so",,"so","so","so",,,"so"
"6351.png","the",2,1,1,,"the","the",,"the","the","the","the","the",
"6352.png","Why",2,1,1,,,,,,,,,,
"6353.png","the",2,1,1,"tne","the","the","tne","tne",,,,,"tine"
"6354.jpeg","consternation/",2,1,1,"consternation/","consternation/","consternation/","consternation/","consternation/","consternation/","consternation/","consternation/","consternation/","consternation/"
"6355.png","rights",2,1,1,"rights","riqnts","rignts","rignts","rignts","rignts","rignts","rignts","rignts","rignts"
"6356.png","officer,",2,1,1,,,,,,,,,,
"6357.jpeg","from",2,1,1,"from","from","from","from","from","from","from","from","from","from"
"6358.png","Figures",2,1,1,"rigures","Figures","Figures","rigures","Figures","Figures","Figures","Figures","Figures","rigures"
"6359.png","information.",2,1,1,,,,,,,,"mrormation.","mrormation.",
"636.jpeg","But",2,1,1,"But","But","But","But","But","But","But","But","But","But"
"6360.jpeg","and",2,1,1,"and","and","and","and","and","and","and","and","and","and"
"6361.jpeg","ITS",2,1,1,,,,,,"ITS","ITS","ITS","ITS",
"6362.jpeg","such",2,1,1,"such","such","such","such","such","such","such","such","such","such"
"6363.png","having",2,1,1,"Nnaving","having","Naving","naving","Naving","having","having","having","having","Nnaving"
"6364.png","‘False’",2,1,1,,,,,,,,"r'Feaise’","r'Feaise’",
"6365.png","Defamation",2,1,1,,,,,,,,,,
"6366.jpeg","AS",2,1,1,"AS","AS","AS","AS","AS","AS","AS","AS","AS","AS"
"6367.jpeg","is",2,1,1,"is","is","is","is",,,,,,"is"
"6368.jpeg","bloody",2,1,1,"bloody","bloody","bloody","bloody","bloody","bloody","bloody","bloody","bloody","bloody"
"6369.png","OR",2,1,1,,,,,,,,,,
"637.png","and",2,1,1,"and","and","and","and","And","ANG","ANG","And","And","and"
"6370.jpeg","go",2,1,1,"SO","SO","SO","£0","SO","£O","£O","ZO","ZO","SO"
"6371.jpeg","said",2,1,1,"said","said","said","said","elle|","said","soid","soic","Nelle","said"
"6372.jpeg","out",2,1,1,"out","out","oOult","out","out","ot","o1lt","ollt","ollt","Olult"
"6373.jpeg","the",2,1,1,,"the","the","the",,"the","the","the",,
"6374.jpeg","of",2,1,1,"of","of","of","of","of","of","of","of","of","of"
"6375.png","and",2,1,1,"and","and","and","and","and","and","and","and","and","and"
"6376.jpeg","power",2,1,1,"power","power","power","power","power","power","power","power","power","power"
"6377.jpeg","preserving",2,1,1,"preserving","preserving","preserving","preserving","preserving","preserving","preserving","preserving","preserving","preserving"
"6378.png","lot",2,1,1,"lot","lot","lot","lot","lot","lot","lot","lot","io}","lot"
"6379.jpeg","piled",2,1,1,"piled","piled","piled","piled","piled","piled","piled","piled","piled","piled"
"638.jpeg","profitable",2,1,1,"profitable","profitable","profitable","profitable","profitable","profitable","profitable","profitable","profitable","profitable"
"6380.jpeg","there",2,1,1,"there","there","there","there","there","there","there","there","there","there"
"6381.png","and",2,1,1,"and","and","and","and","and","and","and","ang","ang","and"
"6382.png","have",2,1,1,,,,,,"nave","nave","Have","nave",
"6383.png","Break",2,1,1,,,,,,"Break","Break","Break","Break",
"6384.png","has",2,1,1,"has","has","has","has","has","has","has","has","has","has"
"6385.png","words",2,1,1,,"words","words",,"words","words","words","woras","woras",
"6386.png","48%",2,1,1,"AR%","ARY%","ARY%","A8%","AR%","ARY%","AR%",,,"AR%"
"6387.jpeg","WHICH",2,1,1,,,,,,,,,,
"6388.png","are",2,1,1,,,,,,,,,,
"6389.jpeg","Third",2,1,1,"Third","Third","Third","Third","Third","Third","Third","Third","Third","Third"
"639.jpeg","have.",2,1,1,"hove.","hove.","hove.","hove.","hove.","hove.","hove.","hove",,"have:"
"6390.png","contract,",2,1,1,"ntract,","ontract,","ontract,","onitract,","niract,","contract.","contract,","contract.","contract.","tract,"
"6391.png","on",2,1,1,,,,,,,,,,
"6392.png","Hours)",2,1,1,"Hours}","Hours)","Hours}","rours}","Hours}",,,,,"Hours}"
"6393.jpeg","stand",2,1,1,"stand","stand","stand","stand","stand","stand","stand","stand","stand","stand"
"6394.jpeg","in",2,1,1,,,,,,,,,,
"6395.jpeg","to",2,1,1,"to",,,"to",,,,"to","to","to"
"6396.jpeg","STUDIES",2,1,1,,,,,,,,,,
"6397.png",12,2,1,1,,,,,,,,,,
"6398.jpeg","making",2,1,1,"making","making","making","making","making","making","making","making","making","making"
"6399.jpeg","spoke",2,1,1,"spoke","spoke","spoke","spoke","spoke","spoke","spoke","spoke","spoke","spoke"
"64.png","his",2,1,1,"his","his","his","his","his","his","his","his","his","his"
"640.jpeg","pair",2,1,1,"pair","pair","pair","pair","pair","pair","pair","pair","pair","pair"
"6400.png","toyed",2,1,1,,,,,,,,,,
"6401.png",8,2,1,1,,,,,,,,,,
"6402.jpeg","captured",2,1,1,"captured","captured","captured","captured","captured","captured","captured","captured","captured","captured"
"6403.png","equipments.",2,1,1,"equipments.","equipments.","equipments.","equipments.","equipments.","equipments.","equipments.","equipments.","equipments.","equioments."
"6404.jpeg","West",2,1,1,"West","West","West","West","West","West","West","West","West","West"
"6405.jpeg","At",2,1,1,"Aft","At","At","Af","Aft","Aft","Aft","Af","Af","Aft"
"6406.jpeg","one:",2,1,1,"one:","one’","one’","one’","one:","one’","one’","none","none","One:"
"6407.png","Question",2,1,1,,,,,"Question",,,,,"Question"
"6408.jpeg","say",2,1,1,"say","soy","soy",,"say","soy","soy","SOY","SOY","say"
"6409.jpeg","gentlemen",2,1,1,"gentlemen","gentlemen","gentlemen","gentlemen","gentlemen","gentlemen","gentlemen","gentlemen","gentlemen","gentlemen"
"641.jpeg","ripe",2,1,1,"ripe",,"ripe","ripe","ripe",,,"ripe","yipe","ripe"
"6410.jpeg","at",2,1,1,"at","at","at","at","at","at","at","at","at","at"
"6411.jpeg","far",2,1,1,"far","far","far","far","far","far","far","far","far","far"
"6412.png","deadly",2,1,1,"aqeaadly","aeadly","qeadly","aeaadly","aeadly","deadly","qeadly","deadly","deadly","qeaady"
"6413.jpeg","powers",2,1,1,"powers","DOWETS","DOWETS","DOWE;IS","DOWETS","DOWeTS","DOWEeTS","powe}’s","powel»s","powe’s"
"6414.png","to",2,1,1,,,,,,,,,,
"6415.jpeg","WAS",2,1,1,,,,,,,,,,
"6416.png",":",2,1,1,,,,,,,,,,
"6417.jpeg","CAN",2,1,1,"CAN","CAN","CAN","CAN","CAN","CAN","CAN","CAN","CAN","CAN"
"6418.jpeg","sent",2,1,1,"sent","sent","sent","sent","cent","sent","sent","cen}","cen}","sent"
"6419.jpeg","folks=",2,1,1,,,,,,,,,,
"642.png","situation",2,1,1,,,,,,,,"+ situation","* situation",
"6420.jpeg","left",2,1,1,"left","left","left","left","left","lefi","left","left","left",
"6421.jpeg","IT",2,1,1,"IT","IT","IT","IT",,,,,,"IT"
"6422.png","and",2,1,1,"and","and","and","and","and","aNd","and","ang","ang","and"
"6423.jpeg","word",2,1,1,"word","word","word","word","word","word","word","word","word","word"
"6424.jpeg","then",2,1,1,"then","then","then","fhen","then","then","then","then","then","then"
"6425.jpeg","strength",2,1,1,"strenoth","strenoth","strenoth","strenoth","streneth","streneth","streneth","streneth","streneth","strenoth"
"6426.png","official",2,1,1,"official","official!","official!","official","official","official!","official!","officia!","officia!","official"
"6427.png","(any",2,1,1,,,,,,,,,,
"6428.png","questions",2,1,1,"questions","questions","questions","questions","questions","questions","questions","questions","questions","questions"
"6429.png","their",2,1,1,"their","their","their","their","their","their","their","their","their",
"643.jpeg","as",2,1,1,"AS","aS","aS","AS","AS","as","as","aS","aS","AS"
"6430.jpeg","time",2,1,1,"time","time","time",,"time",,,,,"time"
"6431.png","the",2,1,1,,,,,,,,,,
"6432.png","for",2,1,1,"for","for","for","for","for","for","for","for","for","for"
"6433.jpeg","OF",2,1,1,,,,,,"OF","OF","OF","OF",
"6434.png","Accountants",2,1,1,,,,,,,,,,
"6435.jpeg","lady",2,1,1,"lady","lady","lady","lady","lady","lady","lady","lady","lady","lady"
"6436.jpeg","he",2,1,1,"he","he","he","he","he","he","he",,,"he"
"6437.jpeg","NEW",2,1,1,,,,,,"NEW","NEW","NEW","NEW",
"6438.png","by",2,1,1,"‘by",,,"‘by",,,,,,"‘by"
"6439.png","the",2,1,1,"the","the","the",,"the","the","the","the","the","the"
"644.jpeg","$lips",2,1,1,"$lios","$lios","$lios","$lips","$lios","$lips","$lips","$lips","$lios","$lios"
"6440.png","into",2,1,1,,,,,,,,,,
"6441.png","What",2,1,1,,,,,,,,,,
"6442.png","NABARD",2,1,1,,,,,,,,,,
"6443.png","50,000",2,1,1,3,,,,3,,,,,3
"6444.jpeg","dropped",2,1,1,"dropped","dropped","dropped","dropped","dropped","dropped","dropped","dropped","dropped","dropped"
"6445.png","the",2,1,1,"the","the","the","the","the","the","the",,,"the"
"6446.jpeg","who/",2,1,1,,,,,,,,,,
"6447.png","Foreign",2,1,1,,,,,,,,,,
"6448.png","Why",2,1,1,"Why","Why","Why","Why","Why","Why","Why","Why","Why","Why"
"6449.jpeg","that'",2,1,1,,,,,,"that","that","that’","that’","that'"
"645.png","inspite",2,1,1,"inspite","inspite","inspiie","inspite","inspite","inspite","inspite","inspite","inspite",
"6450.png",")",2,1,1,,,,,,"e )","e |",,,
"6451.png","(b)",2,1,1,,,,,,,,,,
"6452.jpeg","once",2,1,1,"once","once","once","once","once","once","once","onre","onre","once"
"6453.png","months",2,1,1,,,,,,,,,,
"6454.png","characteristics.",2,1,1,"characteristics.","characteristics.","characteristics.","characteristics.","characteristics.","characteristics.","characteristics.","characteristics.","characteristics.","characteristics."
"6455.jpeg","up",2,1,1,"Up","Up","Up","UD","Up","Up","Up","UD","UD","Up"
"6456.png",12,2,1,1,,,,,,,,,,
"6457.jpeg","that",2,1,1,"that","that","that","that","that","that","that","that","that","that"
"6458.jpeg","heres",2,1,1,"heres","heres","heres","heres","heres","heres","heres","heres","heres","heres"
"6459.jpeg","conspicuously",2,1,1,"conspicuously","conspicuously","conspicuously","conspicuously","conspicuously","conspicuously","conspicuously","conspicuously","conspicuously","conspicuously"
"646.jpeg","GO",2,1,1,"CGO","CGO","CO","CO","CO","CO","CO","CH","Ah","GO"
"6460.png","Computer",2,1,1,"Computer","Computer","Computer","Computer","Computer","Computer","Computer","Computer","Computer","Computer"
"6461.jpeg","YOUNG",2,1,1,"YOUNG","YOUNG","YOUNG",,,"YOUNG","YOUNG","YOUNG","YOUNG",
"6462.png","System.",2,1,1,"System.","System.","System.","System.","System.","System.","system.","system.","system.","System."
"6463.png","immediately",2,1,1,"immediately","tmmedciately","immediately","tmmeciately","immediately","tmmediately","tmmediately","immediately","immediately","tmmecately"
"6464.jpeg","for",2,1,1,"for","for","for","for","for","for","for","for","for","for"
"6465.jpeg","THE",2,1,1,"THE","THE","THE","THE","THE","THE","THE","THE","THE","THE"
"6466.png","different",2,1,1,,,,,,,,"different","different",
"6467.png","(",2,1,1,,,,,,,,,,
"6468.png","When",2,1,1,,,,,,,,,,
"6469.png","Con.",2,1,1,"Con.","Con.","Con.","Con.","Con.","Con.","Con.","Con.","Con.","Con."
"647.jpeg","the",2,1,1,"the","the","the","the","the","the","the","the","the","the"
"6470.jpeg","as@",2,1,1,,,,"as@",,"as@","asa","asa","asa",
"6471.jpeg","the ?",2,1,1,"the ?","the ?","the ?","the ?","the 2?","the ?","the ?","the ?","the ?","the ?"
"6472.png","a",2,1,1,,,,,"Oi)",,,,,
"6473.png","RBI",2,1,1,,,,,,,,,,
"6474.jpeg","one",2,1,1,"one","one","one","one","one","one","one","one","one","one"
"6475.jpeg","drops",2,1,1,"drops","drops","drops","drops","drops","drops","drops","drops","drops","drops"
"6476.png","short",2,1,1,,,,,,,,,,
"6477.png","in",2,1,1,"in","in","in","in","in","Wn","mn","wm","1a","in"
"6478.jpeg","well",2,1,1,"well","well","we}l","well","vel]","well","well","well","well","wel]"
"6479.png","training",2,1,1,"trainin","trainin","trainin","trainin","trainin","trainin","trainin","trainin","trainin","trainin"
"648.jpeg","WE",2,1,1,"WE","WE","WE","WE","WE","WE","WE","WE","WE","WE"
"6480.png","(v)",2,1,1,,,,,,,,,,
"6481.png","Discuss",2,1,1,,"Hyiscuss","Hyiscuss",,"Hyiscuss","Hyiscuss","Hyiscuss","rjyiccuss","rjyiscuss",
"6482.png","options",2,1,1,"options","options","options","options","options","options","options","options","options","options"
"6483.jpeg","tired",2,1,1,"tired","tired","tired","tired","tired","tired","tired","tired","tired","tired"
"6484.jpeg","PEN",2,1,1,"PEN","PEN","PEN","PEN","PEN","PEN","PEN","PEN","PEN","PEN"
"6485.png","OR",2,1,1,,,,,,,,,,
"6486.png","the",2,1,1,,,,,,,,,,
"6487.jpeg","in",2,1,1,,,,,,"in","in",,,
"6488.png","entity",2,1,1,"entity","entity","entity","entity","entity","entity","entity","entity","entity","entity"
"6489.png","in",2,1,1,"in","in","in","1a","in","in","in",,,"in"
"649.jpeg","playing",2,1,1,"olaying","playing","playing","playing","olaying","playing","playing","playing","playing","olaying"
"6490.png","?",2,1,1,,,,,,,,,,
"6491.png","everthing",2,1,1,"evertning","everthing","everthing","evertning","everthing","everthing","everthing","everthing","everthing","evertning"
"6492.jpeg","what&",2,1,1,"what","what","what","whatk","what","wvulhot &","wvuiot &","wunct &","vofhicyt &","what"
"6493.png","(1)",2,1,1,,,,,,,,,,
"6494.jpeg","Vous",2,1,1,"Vous","Vous","Vous","Vous","Vous","Vous","Vous","Vous","Vous","Vous"
"6495.jpeg","are &",2,1,1,"are &","are &","are &","are &","are &","are &","are &","are &","are &","are &"
"6496.png","of",2,1,1,"of","of","of","of","of",,,,,"eyt"
"6497.png",5,2,1,1,,,,,,,,,,
"6498.png","is",2,1,1,"tis","tis","tis","tis","tis","tis","tis","tis","tis","tis"
"6499.png","of",2,1,1,,,,,,,,,,
"65.png","unsatisfactory’",2,1,1,"unsatisfactory","unsatisfactory","unsatisfactory","unsatisfactory","unsatisfactory","unsatisfactory","unsatisfactory","unsatisfactory","unsatisfactory","unsatisfactory"
"650.jpeg","the",2,1,1,"the","the","the","the","the","the","the","the","the","the"
"6500.png",8,2,1,1,,,,,,,,,,
"6501.png","forms",2,1,1,"forms","forms","forms","forms","forms","forms","forms","forms","forms","forms"
"6502.png","enabled",2,1,1,,,,,,,,,,
"6503.png","handle",2,1,1,,,,,,,,,,
"6504.jpeg","you",2,1,1,"you","you","you","you","you","you","you","you","you","you"
"6505.png","years",2,1,1,,,,,,,,,,
"6506.jpeg","reglar",2,1,1,"reglar","reglar","reglar","reglar","reglar","reglar","reglar","reglar","reglar","reglar"
"6507.jpeg","whispered",2,1,1,"whispered","whispered","whispered","whispered","whispered","whispered","whispered","whispered","whispered","whispered"
"6508.jpeg","see,",2,1,1,"see,","see,","see,","see,","See;","see,","see,","see,","see,","see,"
"6509.png","of",2,1,1,"S OT","c of","c of","c of","e OT","Sc of","Sc of","Ss Of","Ss of","o of"
"651.jpeg","Suppress",2,1,1,"Suppress","Suppress","Suppress","Suppress","Suppress","Suppress","Suppress","Suppress","Suppress","Suppress"
"6510.png","Explain",2,1,1,"Explain","Explain","Explain","Explain","Explain","Explain","Explain","Explain","Explain","Explain"
"6511.jpeg","approve",2,1,1,"approve","approve","approve","approve","approve","approve","approve","approve","approve","approve"
"6512.png","0%",2,1,1,,,,,,,,,,
"6513.jpeg","LIKE",2,1,1,"LIKE","LIKE","LIKE","LIKE","LIKE","LIKE","LIKE","LIKE","LIKE","LIKE"
"6514.jpeg","guessin",2,1,1,"guessin","euessin","guessin","guessin","guessin","euessin","euessin","guessin","guessin","guessin"
"6515.png","Social",2,1,1,"Socia!","Socia!","Socia!","Socia!","Socia!","Social","Social","Social!","Socia!","Socia!"
"6516.jpeg","for",2,1,1,"for",,,,,,,,,"for"
"6517.jpeg","CONSIDER",2,1,1,"CONSINER","CONSIDER","CONSIDER","CONSIDER","CONSIDER","CONSIDER","CONSIDER","CONSIDER","CONSIDER","CONSINER"
"6518.png","a",2,1,1,,"f
-","f
-",,,"-","-",,,
"6519.jpeg","day",2,1,1,"day","da)","da)","day","da)","da)","da)","day","day","day"
"652.png","systems",2,1,1,"system","system","system","system","system",,,,,"system"
"6520.jpeg","tears",2,1,1,"tears","tears","tears","tecirs","tears","tecqcre","tec","4eor

las","4eory

rs","tecqre"
"6521.jpeg","in",2,1,1,"i","mM","mn","iN","iW","mn","mn","nn","mn","W"
"6522.png","State",2,1,1,,,,,,,,,,
"6523.png","masses",2,1,1,,,,,,,,,,
"6524.jpeg","or",2,1,1,"OT","OT","OT","Or","OT","OT","OT","Or","Or","OT"
